Action Item Title,Open Comments,Process Stage,Proposal,Assigned To,Order,Action Item Number,First Created,Last Updated,Request,Buyer,Date,Files and Images,Last Update,Link to Order Line Items,Project Status.es,Status,Supplier
Samples of crackers & waffers - Crich,0,Sampling,,Success Management,,#470,"By Udi Stryk on 16 Feb, 2025","By Operation Manager on 19 Feb, 2025",,,,,,,,In Process,
New product specifications: Leimann Schlussel  Corn Coated Peanuts and Rice Crackers,0,Adaptation,,Success Management,,#391,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,To Do,
Vicenzi new labeling project - Gilad's email,0,Adaptation,,Success Management,,#401,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,Complete,
Chromolines for chocolate eggs - Yohananof,0,"Adaptation, Graphics",,Success Management,,#404,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,In Process,
Check Order Delivery Date,0,Orders,"Frozen Vegetables, Shufersal- Ardo, Belgium",Success Management,,#317,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025","Frozen French fries, Dor Alon",,,,,,,To Do,
Check Order Delivery Date,0,Orders,,Success Management,,#345,"By Udi Stryk on 16 Feb, 2025","By Operation Manager on 20 Feb, 2025",,,,,,,,To Do,
Check if Order has invoice,0,Orders,"Frozen Vegetables, Shufersal- Ardo, Belgium",Success Management,,#318,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025","Frozen French fries, Dor Alon",,,,,,,To Do,
Check if Order has invoice,0,Orders,"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)- Poyraz, Turkey",Success Management,,#374,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025","750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)",,,,,,,To Do,
Check if Order has invoice,0,Orders,,Success Management,,#346,"By Udi Stryk on 16 Feb, 2025","By Operation Manager on 20 Feb, 2025",,,,,,,,To Do,
Check if all invoces are paid,0,Orders,"Frozen Vegetables, Shufersal- Ardo, Belgium",Success Management,Order: 000166-SHF [115252],#319,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025","Frozen French fries, Dor Alon",,,,,,,To Do,
Check if all invoces are paid,0,Orders,"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)- Poyraz, Turkey",Success Management,,#375,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025","750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)",,,,,,,To Do,
Check if all invoces are paid,0,Orders,,Success Management,,#347,"By Udi Stryk on 16 Feb, 2025","By Operation Manager on 20 Feb, 2025",,,,,,,,To Do,
loading has been confirmed on 16/12/2024.,0,Orders,,Success Management,Order: 000211-SHF [115407],#392,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,Complete,
נסיון,0,Orders,,Success Management,Order: 000492-SCH [5200016785],#576,"By Success Management on 5 Mar, 2025","By Success Management on 5 Mar, 2025",,Foodz,,,,,,To Do,
recieve down payment 20% of order,0,Invoicing,,Success Management,Order: 000474-DOR [1-2025],#547,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,In Process,
Update on Dec. 24 shipments to Shufersal from La doria,0,Shipments,,Success Management,,#472,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,In Process,
Update on PO 115498,0,"Shipments, Orders",,Success Management,,#471,"By Udi Stryk on 16 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,,,In Process,
